id,number of bedrooms,number of bathrooms,living area,waterfront present,condition of the house,Distance from the airport,Number of schools nearby,Lattitude,Longitude,Price
6762810635.0,4.0,2.5,2920.0,0.0,5.0,51.0,2.0,52.8878,-114.47,1400000
6762810998.0,5.0,2.8,2910.0,0.0,3.0,53.0,1.0,52.8852,-114.468,1200000
6762812605.0,4.0,2.5,3310.0,0.0,3.0,76.0,3.0,52.9532,-114.321,838000
6762812919.0,3.0,2.0,2710.0,0.0,4.0,51.0,1.0,52.9047,-114.485,805000
6762813105.0,3.0,2.5,2600.0,0.0,4.0,67.0,1.0,52.9133,-114.59,790000
6762813157.0,5.0,3.3,3660.0,0.0,3.0,72.0,3.0,52.7637,-114.05,785000
6762813599.0,3.0,1.8,2240.0,0.0,5.0,71.0,3.0,52.9254,-114.482,750000
6762813600.0,3.0,2.5,2390.0,0.0,4.0,73.0,1.0,52.8014,-114.598,750000
6762814461.0,4.0,2.3,2200.0,0.0,5.0,53.0,2.0,52.9145,-114.391,698000
6762814787.0,5.0,2.5,2820.0,0.0,3.0,51.0,2.0,52.8094,-114.215,675000
6762815225.0,4.0,2.0,1820.0,0.0,3.0,69.0,2.0,52.9115,-114.459,650000
6762815461.0,4.0,2.0,1520.0,0.0,3.0,80.0,3.0,52.908,-114.459,640000
6762815654.0,4.0,2.8,2710.0,0.0,3.0,74.0,1.0,52.6934,-114.177,630000
6762815737.0,3.0,2.3,1750.0,0.0,3.0,51.0,3.0,52.8798,-114.511,626000
6762815748.0,4.0,2.5,2820.0,0.0,3.0,55.0,3.0,52.9838,-114.515,625000
6762815749.0,4.0,3.3,2730.0,0.0,3.0,70.0,1.0,52.7433,-114.3,625000
6762815986.0,3.0,1.8,2360.0,0.0,4.0,75.0,2.0,52.7574,-114.574,615000
6762816059.0,4.0,2.5,2730.0,0.0,3.0,70.0,2.0,52.9719,-114.395,612500
6762816236.0,3.0,2.5,3240.0,0.0,3.0,71.0,1.0,52.5556,-114.568,604000
6762816633.0,3.0,1.8,2330.0,0.0,3.0,60.0,1.0,52.8567,-114.236,588500
6762817449.0,4.0,2.5,3310.0,0.0,3.0,80.0,2.0,52.745,-114.06,555000
6762817570.0,4.0,2.5,1940.0,0.0,4.0,58.0,1.0,52.913,-114.304,550000
6762817571.0,3.0,1.8,2910.0,0.0,3.0,50.0,3.0,52.8047,-114.225,550000
6762819227.0,4.0,2.5,2860.0,0.0,3.0,73.0,3.0,53.0035,-114.348,499950
6762819342.0,4.0,1.8,1600.0,0.0,3.0,50.0,3.0,52.931,-114.496,495000
6762819448.0,4.0,1.8,2190.0,0.0,3.0,64.0,3.0,52.5003,-114.259,491500
6762819463.0,2.0,1.0,880.0,0.0,3.0,66.0,3.0,52.9224,-114.512,490000
6762819732.0,4.0,2.5,2710.0,0.0,3.0,71.0,3.0,52.605,-114.212,482000
6762820114.0,5.0,2.5,2210.0,0.0,3.0,79.0,3.0,52.9998,-114.412,470000
6762820382.0,3.0,1.8,1710.0,0.0,3.0,72.0,1.0,52.9812,-114.471,463000
6762820510.0,3.0,2.5,2680.0,0.0,3.0,74.0,2.0,52.7061,-113.924,459990
6762820718.0,3.0,2.5,2430.0,0.0,4.0,78.0,3.0,52.7128,-113.908,452500
6762821047.0,3.0,2.5,1270.0,0.0,3.0,61.0,3.0,52.8997,-114.582,445700
6762821205.0,4.0,2.3,2160.0,0.0,3.0,52.0,2.0,52.7743,-114.367,440000
6762821206.0,2.0,1.0,800.0,0.0,4.0,60.0,2.0,52.8939,-114.554,440000
6762821318.0,3.0,2.5,1770.0,0.0,3.0,68.0,3.0,52.7931,-114.587,439950
6762821390.0,3.0,2.3,1970.0,0.0,4.0,70.0,2.0,52.6935,-114.181,437500
6762821424.0,3.0,2.5,1770.0,0.0,3.0,52.0,3.0,52.9265,-114.532,436110
6762821444.0,4.0,1.0,1450.0,0.0,4.0,62.0,2.0,52.8046,-114.325,435000
6762821632.0,4.0,1.5,1920.0,0.0,4.0,64.0,2.0,52.8025,-114.323,430000
6762822054.0,3.0,2.3,2000.0,0.0,4.0,61.0,1.0,52.8488,-114.304,420000
6762822175.0,3.0,1.5,1570.0,0.0,4.0,78.0,3.0,52.8322,-114.324,419000
6762822578.0,3.0,2.5,1930.0,0.0,3.0,63.0,1.0,52.7238,-114.351,407500
6762822721.0,3.0,2.0,1960.0,0.0,5.0,72.0,3.0,52.6719,-114.53,403000
6762822791.0,4.0,2.5,3630.0,0.0,3.0,80.0,1.0,52.4917,-114.38,400000
6762823455.0,3.0,3.3,1320.0,0.0,3.0,51.0,2.0,52.8806,-114.573,385000
6762823582.0,4.0,1.8,1560.0,0.0,4.0,74.0,3.0,52.9574,-114.371,382500
6762824201.0,4.0,3.0,3110.0,0.0,3.0,66.0,3.0,52.5579,-114.381,367500
6762824245.0,3.0,1.0,1090.0,0.0,4.0,80.0,3.0,52.7634,-114.555,365000
6762825272.0,3.0,2.0,1930.0,0.0,4.0,66.0,2.0,52.5972,-114.341,342000
6762825549.0,2.0,2.0,1350.0,0.0,3.0,77.0,1.0,52.8644,-114.297,335000
6762825550.0,3.0,2.3,1580.0,0.0,4.0,56.0,3.0,52.7943,-114.087,335000
6762826461.0,3.0,1.0,1160.0,0.0,3.0,52.0,1.0,52.9727,-114.262,315000
6762826606.0,3.0,1.5,1340.0,0.0,3.0,65.0,3.0,52.9958,-114.529,313000
6762826811.0,2.0,1.0,850.0,0.0,4.0,60.0,1.0,52.9652,-114.518,308500
6762827056.0,3.0,2.5,2540.0,0.0,3.0,64.0,2.0,52.5658,-114.245,300000
6762827347.0,2.0,2.5,1630.0,0.0,3.0,74.0,1.0,52.7789,-114.553,295000
6762827693.0,3.0,3.0,1850.0,0.0,4.0,58.0,2.0,52.5793,-114.224,287200
6762827749.0,4.0,2.5,2200.0,0.0,3.0,80.0,3.0,52.5706,-114.459,285000
6762827750.0,3.0,2.5,2090.0,0.0,4.0,56.0,2.0,52.5837,-114.493,285000
6762827836.0,3.0,1.8,1800.0,0.0,3.0,62.0,3.0,52.8817,-114.096,284000
6762828162.0,3.0,1.5,1180.0,0.0,3.0,78.0,3.0,52.718,-113.977,275000
6762828790.0,4.0,2.0,1480.0,0.0,4.0,60.0,1.0,52.692,-114.383,260000
6762828945.0,3.0,1.8,1370.0,0.0,3.0,56.0,3.0,52.6115,-114.503,257950
6762829578.0,3.0,1.5,1200.0,0.0,4.0,77.0,3.0,52.6525,-114.343,242500
6762829789.0,2.0,1.0,1210.0,0.0,2.0,73.0,3.0,52.7642,-114.55,235000
6762815750.0,4.0,2.8,2920.0,0.0,3.0,62.0,1.0,52.7209,-114.334,625000
6762817521.0,2.0,1.0,900.0,0.0,3.0,68.0,1.0,52.9183,-114.585,553000
6762823736.0,3.0,2.5,1650.0,0.0,4.0,57.0,2.0,52.7121,-114.207,379880
6762826674.0,3.0,1.0,1010.0,0.0,4.0,60.0,3.0,52.7624,-113.953,310000
6762813188.0,3.0,2.5,2850.0,0.0,3.0,52.0,1.0,52.833,-114.479,783500
6762813282.0,2.0,2.5,2680.0,0.0,3.0,65.0,2.0,52.947,-114.216,775000
6762815716.0,4.0,2.0,2280.0,0.0,3.0,51.0,1.0,52.8334,-114.479,628000
6762824246.0,3.0,2.5,2200.0,0.0,5.0,53.0,2.0,52.6695,-114.351,365000
6762825730.0,4.0,2.5,2530.0,0.0,3.0,59.0,2.0,52.4954,-114.406,331950
6762810164.0,7.0,8.0,13540.0,0.0,3.0,55.0,1.0,52.8975,-114.176,2280000
6762810615.0,2.0,2.5,2220.0,0.0,3.0,67.0,3.0,52.8664,-114.47,1430000
6762810636.0,5.0,3.5,4010.0,0.0,5.0,50.0,1.0,52.8878,-114.476,1400000
6762811248.0,4.0,2.5,4340.0,0.0,3.0,73.0,1.0,52.9105,-114.238,1090000
6762811411.0,5.0,2.8,3190.0,0.0,3.0,53.0,1.0,52.7941,-114.35,1030000
6762812053.0,3.0,1.0,1330.0,0.0,3.0,52.0,3.0,52.9191,-114.349,900000
6762812148.0,4.0,4.3,4420.0,0.0,3.0,57.0,1.0,52.7704,-114.263,890000
